district,block,clf_id,clf_name,partner_organization,project_title
Agar,Nalkheda,MP-AGR-001,Anmol CLF Nalkheda,SV Agri,Agri Enterprise Strengthening
Agar,Nalkheda,MP-AGR-001,Anmol CLF Nalkheda,FWWB,Financial Access Support
Dhar,Sardarpur,MP-DHR-001,Samriddhi Mahila CLF,PRADAN,Producer Group Nurturing
Sehore,Ichhawar,MP-SEH-001,Ujjwala CLF,Reliance Foundation,Advisory and Market Linkage
Agar,Susner,MP-AGR-002,Laxmi Samudaik Sahyog Santha,,
